Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gain,CMP,Market_Profit,SME
2019-05-08,Neogen,131.48,30.49,113.88,16.06,100,251.0,263.55,151.0,278.0,Yes,Yes
2022-02-16,Vedant Fashions,3149.0,7.49,1.07,0.39,866,950.0,934.85,9.699769053,906.75,Yes,No
2022-02-08,Adani Wilmar,3600.0,5.73,56.3,3.92,230,274.0,265.2,19.13043478,354.35,Yes,No
2017-07-25,Salasar Techno ,35.87,0.0,487.18,58.59,108,259.45,272.1,140.2314815,215.75,Yes,No
2022-01-31,AGS Transact,716.87,2.68,25.61,3.08,175,176.0,161.3,0.571428571,125.1,No,No
2021-12-31,CMS Info System,1100.0,1.98,1.45,2.15,216,242.95,237.4,12.47685185,245.45,Yes,No
2021-12-28,Supriya Lifesci,700.0,31.83,161.22,56.01,274,425.0,390.35,55.10948905,410.95,Yes,No
2021-12-27,HP Adhesives,125.96,1.82,19.04,81.24,274,319.0,334.95,16.42335766,373.0,Yes,No
2021-12-24,Data Patterns,601.2,190.86,254.22,23.14,585,864.0,754.85,47.69230769,649.7,Yes,No
2021-12-22,Metro Brands,1376.63,8.49,3.02,1.13,500,436.0,493.55,-12.8,553.35,Yes,No
2021-12-20,Shriram Prop,600.0,1.85,4.82,12.72,118,94.0,99.4,-20.33898305,88.3,No,No
2021-12-17,Rategain Travel,1354.0,8.42,42.04,8.08,425,364.8,340.5,-14.16470588,355.75,No,No
2021-12-14,A0d Rathi,660.0,2.5,25.42,7.76,550,584.45,583.5,6.263636364,566.85,Yes,No
2021-12-13,Tega Industries,619.23,215.45,666.19,29.44,453,753.0,725.5,66.22516556,474.65,Yes,No
2021-12-10,Star Health,7318.15,1.03,0.19,1.1,900,903.0,906.85,0.333333333,728.05,No,Yes
2021-11-26,Tarsons Product,1030.22,1.06,3.4,2.49,662,700.0,840.0,5.740181269,654.05,No,No
2021-11-23,Latent View,622.11,145.48,850.66,119.44,197,530.0,488.6,169.035533,476.9,Yes,No
2021-11-18,One 97 Paytm,18915.9,2.79,0.24,1.66,2150,1955.0,1564.15,-9.069767442,833.55,No,Yes
2021-11-15,PB Fintech,6273.5,9.83,2.58,1.67,980,1444.0,1202.9,47.34693878,751.5,No,Yes
2021-11-15,SJS Enterprises,816.57,1.42,2.32,1.38,542,514.0,509.85,-5.166051661,389.35,No,No
2021-11-15,Sigachi Ind,0.0,42.15,78.82,41.26,163,575.0,603.75,252.7607362,319.7,Yes,Yes
2021-11-12,Fino Payments,1209.0,1.65,0.21,5.92,577,548.0,545.25,-5.025996534,310.15,No,No
2021-10-11,ABSL AMC,2768.0,4.1,2.6,1.68,712,697.5,699.65,-2.036516854,509.2,No,Yes
2021-10-01,Paras Defence,181.13,90.48,435.14,61.42,175,475.0,498.75,171.4285714,654.55,Yes,No
2021-09-24,Sansera Eng,1282.0,26.47,11.37,3.15,744,845.05,818.7,13.58198925,659.9,No,No
2021-09-14,Vijaya Diagnost,1895.04,13.07,1.32,1.09,531,542.3,619.3,2.128060264,434.4,No,No
2021-09-14,AMI Organics,571.96,86.64,154.81,13.36,610,902.0,934.55,47.86885246,912.6,Yes,No
2021-09-06,APTUS VALUE,2790.0,32.41,33.91,1.35,353,360.0,374.05,1.983002833,355.2,Yes,Yes
2021-08-24,CHEMPLAST SANMA,3929.91,2.7,1.03,2.29,541,570.0,534.9,5.360443623,524.0,No,Yes
2021-08-23,Nuvoco Vistas,5089.29,0.1,0.02,0.24,570,471.0,531.3,-17.36842105,383.25,No,Yes
2021-08-20,CarTrade Tech,2998.0,0.55,0.09,0.81,1618,1600.0,1500.1,-1.112484549,587.8,No,Yes
2021-08-16,Windlas Biotech,405.95,24.4,15.73,24.27,460,439.0,406.7,-4.565217391,262.8,No,No
2021-08-16,Devyani Int,1858.0,95.27,213.06,39.52,90,141.0,123.35,56.66666667,166.1,Yes,No
2021-08-16,Exxaro Tiles,161.09,17.67,5.36,40.1,120,126.0,132.25,5.0,127.7,Yes,No
2021-08-16,Krsnaa Diagnost,1222.0,49.83,116.3,42.04,954,1025.0,990.75,7.442348008,600.5,No,No
2021-08-06,Glenmark Life,1513.0,0.98,0.87,4.61,720,752.0,748.2,4.444444444,523.0,No,No
2021-07-23,Zomato,9375.0,51.79,32.96,7.45,76,115.0,125.85,51.31578947,86.0,Yes,Yes
2021-07-07,India Pesticide,800.0,2.64,1.36,4.4,296,360.0,335.45,21.62162162,305.6,Yes,No
2021-06-28,Dodla Dairy,521.0,84.88,73.26,11.34,428,550.0,609.1,28.5046729,475.0,Yes,No
2021-06-24,Shyam Metalics,909.0,62.18,172.51,5.29,306,380.0,375.85,24.18300654,323.35,Yes,No
2021-06-24,Sona BLW,5550.0,1.57,0.22,0.66,291,302.4,362.85,3.917525773,655.0,Yes,Yes
2021-05-14,PowerGrid InvIT,7734.99,0.0,0.0,0.0,100,104.0,102.98,4.0,130.0,Yes,Yes
2021-03-26,Suryoday Small,582.34,2.18,1.31,3.09,305,274.75,276.2,-9.918032787,127.05,No,No
2021-03-26,Kalyan Jeweller,1175.0,1.18,0.97,1.47,87,73.9,75.3,-15.05747126,62.25,No,No
2021-03-25,Laxmi Organic,600.0,1.13,0.73,4.41,130,173.0,164.6,33.07692308,427.75,Yes,No
2021-03-24,Anupam Rasayan,760.0,30.8,62.06,4.62,555,534.7,525.9,-3.657657658,916.4,Yes,No
2021-03-19,Easy Trip,510.0,0.0,2.79,14.48,187,182.0,208.3,-2.673796791,570.0,Yes,No
2021-03-05,Heranba,60.0,25.98,108.72,4.82,627,900.0,812.25,43.54066986,644.9,Yes,No
2021-02-26,Railtel,819.24,22.03,51.4,7.08,94,109.0,121.4,15.95744681,103.15,Yes,No
